"position","well","row","column","inducerId","inducerConcentration","inducerUnits","selectorId","selectorConc","selectorUnits","strain","plasmid"
1,"A1","A",1,"IPTG",5000.00000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
2,"B1","B",1,"ONPF",2000.00000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
3,"C1","C",1,"IPTG",5000.00000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
4,"D1","D",1,"ONPF",2000.00000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
5,"E1","E",1,"IPTG",5000.00000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
6,"F1","F",1,"ONPF",2000.00000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
7,"G1","G",1,"IPTG",5000.00000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
8,"H1","H",1,"ONPF",2000.00000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
9,"A2","A",2,"IPTG",1000.00000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
10,"B2","B",2,"ONPF",400.000000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
11,"C2","C",2,"IPTG",1000.00000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
12,"D2","D",2,"ONPF",400.000000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
13,"E2","E",2,"IPTG",1000.00000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
14,"F2","F",2,"ONPF",400.000000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
15,"G2","G",2,"IPTG",1000.00000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
16,"H2","H",2,"ONPF",400.000000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
17,"A3","A",3,"IPTG",200.000000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
18,"B3","B",3,"ONPF",80.0000000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
19,"C3","C",3,"IPTG",200.000000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
20,"D3","D",3,"ONPF",80.0000000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
21,"E3","E",3,"IPTG",200.000000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
22,"F3","F",3,"ONPF",80.0000000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
23,"G3","G",3,"IPTG",200.000000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
24,"H3","H",3,"ONPF",80.0000000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
25,"A4","A",4,"IPTG",40.0000000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
26,"B4","B",4,"ONPF",16.0000000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
27,"C4","C",4,"IPTG",40.0000000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
28,"D4","D",4,"ONPF",16.0000000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
29,"E4","E",4,"IPTG",40.0000000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
30,"F4","F",4,"ONPF",16.0000000000000,"umol/L","Tet","1.25","ug/mL","MG1655-dLac","pTY1-Lib-UKMC-1"
